id_cliente,fecha_nacimiento,genero
ID-0000001,1971-10-06,Male
ID-0000002,1976-05-10,Male
ID-0000003,1971-02-09,Male
ID-0000004,1973-08-14,Female
ID-0000005,1979-08-05,Female
ID-0000006,1976-08-01,Male
ID-0000007,1976-12-02,Female
ID-0000008,1969-11-06,Male
ID-0000009,1975-07-04,Female
ID-0000010,1969-09-29,Male
ID-0000011,1969-08-05,Female
ID-0000012,1969-05-03,Male
ID-0000013,1979-01-14,Female
ID-0000014,1979-08-03,Male
ID-0000015,1973-11-06,Female
ID-0000016,1984-08-26,Female
ID-0000017,1984-10-25,Male
ID-0000018,1949-12-24,Female
ID-0000019,1955-10-06,Male
ID-0000020,1983-09-04,Male
ID-0000021,1984-03-19,Male
ID-0000022,1984-03-02,Female
ID-0000023,1984-04-10,Female
ID-0000024,1984-04-09,Female
ID-0000025,1984-03-16,Female
ID-0000026,1951-06-22,Female
ID-0000027,1951-10-01,Female
ID-0000028,1952-06-05,Female
ID-0000029,1951-10-09,Female
ID-0000030,1952-06-19,Female
ID-0000031,1958-02-18,Female
ID-0000032,1953-02-18,Female
ID-0000033,1952-12-08,Female
ID-0000034,1958-09-19,Female
ID-0000035,1952-12-16,Female
ID-0000036,1953-08-23,Female
ID-0000037,1984-06-16,Female
ID-0000038,1983-05-27,Female
ID-0000039,1953-09-20,Female
ID-0000040,1954-06-16,  
ID-0000041,1983-01-29, 
ID-0000042,1983-04-15, 
ID-0000043,1982-12-11,Female
ID-0000044,1981-08-23,Female
ID-0000045,1954-11-21,Female
ID-0000046,1955-11-16,Female
ID-0000047,1955-09-19,Female
ID-0000048,1955-08-27,Female
ID-0000049,1956-05-21,Female
ID-0000050,1986-01-15,Female
ID-0000051,1957-03-06,Female
ID-0000052,1957-01-31,Female
ID-0000053,1957-02-03,Female
ID-0000054,1986-02-17,Female
ID-0000055,1957-09-07,Female
ID-0000056,1957-09-02,M 
ID-0000057,1958-10-01,F 
ID-0000058,1970-04-07,Female
ID-0000059,1965-04-23,Female
ID-0000060,1959-09-29,Female
ID-0000061,1959-09-14,Female
ID-0000062,1976-02-20,Male
ID-0000063,1981-03-01,Male
ID-0000064,1980-10-04,Female
ID-0000065,1981-06-05,Male
ID-0000066,1979-04-08,Female
ID-0000067,1979-05-27,Female
ID-0000068,1982-03-25,Male
ID-0000069,1966-09-19,Female
ID-0000070,1966-09-17,Female
ID-0000071,1960-10-02,Male
ID-0000072,1960-12-23,Female
ID-0000073,1960-08-05,Female
ID-0000074,1962-02-11,Female
ID-0000075,1962-02-25,Male
ID-0000076,1963-05-16,Female
ID-0000077,1963-01-10,Male
ID-0000078,1963-03-19,Female
ID-0000079,1985-01-06,Female
ID-0000080,1970-03-07,Male
ID-0000081,1965-01-13,Male
ID-0000082,1972-01-21,Female
ID-0000083,1972-02-01,Female
ID-0000084,1977-03-11,Female
ID-0000085,1963-03-12,Male
ID-0000086,1963-01-16,Female
ID-0000087,1963-06-22,Male
ID-0000088,1963-04-02,Female
ID-0000089,1963-05-25,Male
ID-0000090,1962-08-05,Female
ID-0000091,1968-12-13,Male
ID-0000092,1962-10-02,Male
ID-0000093,1972-11-02,Female
ID-0000094,1978-09-06,Female
ID-0000095,1967-09-29,Male
ID-0000096,1968-02-29,Male
ID-0000097,1968-02-07,Male
ID-0000098,1972-10-23,Male
ID-0000099,1966-10-29,Female
ID-00000100,1966-09-05,Male
