id_cliente,departamento
ID-0000001,Lima
ID-0000002,Lima
ID-0000003,Lima
ID-0000004,Lima
ID-0000005,Lima
ID-0000006,Lima
ID-0000007,Lima
ID-0000008,Lima
ID-0000009,Lima
ID-0000010,Lima
ID-0000011,Lima
ID-0000012,Lima
ID-0000013,Ica
ID-0000014,Ica
ID-0000015,Ica
ID-0000016,Ica
ID-0000017,Ica
ID-0000018,Lima
ID-0000019,Lima
ID-0000020,Loreto
ID-0000021,Loreto
ID-0000022,Ica
ID-0000023,Ica
ID-0000024,Ica
ID-0000025,Ica
ID-0000026,Lima
ID-0000027,Lima
ID-0000028,Lima
ID-0000029,Lima
ID-0000030,Lima
ID-0000031,Lima
ID-0000032,Lima
ID-0000033,Lima
ID-0000034,Lima
ID-0000035,Lima
ID-0000036,Lima
ID-0000037,Ica
ID-0000038,Loreto
ID-0000039,Lima
ID-0000040,Lima
ID-0000041,Ica
ID-0000042,Ica
ID-0000043,Ica
ID-0000044,Ica
ID-0000045,Lima
ID-0000046,Lima
ID-0000047,Lima
ID-0000048,Lima
ID-0000049,Lima
ID-0000050,Ica
ID-0000051,Lima
ID-0000052,Lima
ID-0000053,Lima
ID-0000054,Ica
ID-0000055,Lima
ID-0000056,Lima
ID-0000057,Lima
ID-0000058,Lima
ID-0000059,Lima
ID-0000060,Lima
ID-0000061,Lima
ID-0000062,Lima
ID-0000063,Ica
ID-0000064,Ica
ID-0000065,Ica
ID-0000066,Ica
ID-0000067,Ica
ID-0000068,Ica
ID-0000069,Lima
ID-0000070,Lima
ID-0000071,Lima
ID-0000072,Lima
ID-0000073,Lima
ID-0000074,Lima
ID-0000075,Lima
ID-0000076,Lima
ID-0000077,Lima
ID-0000078,Lima
ID-0000079,Loreto
ID-0000080,Lima
ID-0000081,Lima
ID-0000082,Ica
ID-0000083,Ica
ID-0000084,Ica
ID-0000085,Ica
ID-0000086,Ica
ID-0000087,Ica
ID-0000088,Ica
ID-0000089,Ica
ID-0000090,Ica
ID-0000091,Ica
ID-0000092,Loreto
ID-0000093,Lima
ID-0000094,Lima
ID-0000095,Lima
ID-0000096,Lima
ID-0000097,Lima
ID-0000098,Lima
ID-0000099,Lima
ID-00000100,Lima
